GSM4233218_WT_806_6M_FC.txt	GSM4233219_WT_807_6M_FC.txt	GSM4233220_WT_817_6M_FC.txt	GSM4233221_WT_819_6M_FC.txt	GSM4233222_TG_967_6M_FC.txt	GSM4233223_TG_968_6M_FC.txt	GSM4233224_TG_970_6M_FC.txt	GSM4233225_WT_178_11M_FC.txt	GSM4233226_WT_772_11M_FC.txt	GSM4233227_WT_774_11M_FC.txt	GSM4233228_TG_180_11M_FC.txt	GSM4233229_TG_183_11M_FC.txt	GSM4233230_TG_795_11M_FC.txt
2097.27	2339.68	3773.16	2245.76	3129.11	2839.33	3221.89	3013.54	3013.37	2296.89	2656.03	3501.93	3297.27
33.00	11.00	10.00	16.00	12.00	12.00	14.00	20.00	21.00	29.00	75.00	53.00	77.00
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	7.00	9.00	7.00	12.68	10.00	4.00	7.00	12.00	4.17	4.00	12.00	10.00
28.00	38.00	23.00	29.00	28.00	29.00	38.00	31.00	25.00	24.00	26.00	28.00	28.00
1554.00	1816.00	1713.00	1836.00	1838.00	1622.00	1666.00	1709.00	1366.00	1595.00	1441.00	1554.00	1525.00
1907.00	2241.00	2306.00	2192.00	2330.00	2184.00	2202.00	1904.00	1779.00	1898.00	1757.00	1861.00	1744.00
3.00	5.00	11.00	3.00	6.00	8.00	8.00	7.00	13.00	0.00	9.00	4.00	10.00
0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
981.30	1213.31	1211.53	1197.97	1248.33	1043.30	1269.70	938.34	1261.19	1080.70	764.29	1314.39	998.33
981.00	1015.00	1076.00	1065.00	925.00	998.00	1009.00	987.00	1070.00	1037.00	929.00	1077.00	1093.00
1450.00	1623.00	1482.00	1607.00	1540.00	1357.00	1362.00	1339.00	1127.00	1670.00	1197.00	1262.00	1194.00
484.00	418.00	477.00	417.00	298.00	372.00	428.00	517.00	818.00	435.00	301.00	430.00	493.00
0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00	1.00	0.00	1.00	8.00	2.00
163.00	101.00	152.00	145.00	100.00	95.00	102.00	55.00	24.00	210.00	83.00	29.00	36.00
9.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
4.00	5.00	2.00	1.00	3.00	3.00	2.00	6.00	5.00	1.00	2.00	0.00	0.00
1815.00	1940.00	2047.00	1810.00	1631.00	1775.00	1863.00	1884.00	2585.00	1862.00	1953.00	1814.00	1908.00
6.00	3.00	1.00	3.00	4.00	9.00	10.00	2.00	3.00	2.00	5.00	10.00	18.00
874.00	827.00	772.00	1003.00	714.00	851.00	1325.00	1443.00	2040.00	904.00	1083.00	1244.00	1141.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1839.35	1586.28	1959.72	1706.36	1844.42	1668.42	1507.00	1176.93	953.34	1346.79	1363.73	1257.69	1158.26
1.00	2.00	2.00	1.00	0.00	1.00	0.00	1.00	3.00	0.00	2.00	0.00	1.00
414.00	478.00	508.00	423.00	469.00	443.00	445.00	326.00	365.00	608.00	418.00	463.00	377.00
75.00	97.00	115.00	63.00	89.00	108.00	90.00	113.00	151.00	124.00	182.00	194.00	253.00
1778.00	2015.00	1835.00	2040.00	1974.00	1814.00	2119.00	1999.00	1894.00	1770.00	1874.00	1749.00	1841.00
319.00	328.00	350.00	369.00	457.00	370.00	449.00	410.00	375.00	286.00	551.00	485.00	643.00
799.00	856.00	837.00	940.00	762.00	840.00	943.00	939.00	1105.00	852.00	954.00	863.00	949.00
128.00	137.00	126.00	123.00	374.00	352.00	372.00	144.00	225.00	186.00	792.00	623.00	1099.00
350.00	320.00	345.00	358.00	381.00	316.00	360.00	259.00	243.00	305.00	287.00	240.00	292.00
729.00	613.00	741.00	679.00	696.00	647.00	628.00	436.00	349.00	614.00	437.00	404.00	410.00
58.00	47.00	51.00	58.00	63.00	52.00	75.00	54.00	43.00	40.00	53.00	46.00	58.00
14.00	5.00	9.00	3.00	3.00	11.00	5.00	21.00	4.00	10.00	15.00	15.00	23.00
733.00	482.00	299.00	519.00	420.00	327.00	440.00	425.00	621.00	1059.00	475.00	436.00	520.00
6611.00	7072.00	6154.00	7395.00	7538.00	5782.00	7049.00	6580.00	3741.00	4868.00	5179.00	5305.00	5282.00
22.00	36.00	33.00	24.00	24.00	18.00	23.00	43.00	35.00	16.00	23.00	23.00	23.00
7.00	16.00	16.00	7.00	5.00	6.00	7.00	7.00	9.00	18.00	4.00	8.00	11.00
15.00	10.00	17.00	8.00	4.00	10.00	6.00	23.00	18.00	7.00	14.00	16.00	19.00
968.00	811.00	818.33	900.44	816.00	752.31	969.55	927.66	844.52	938.00	859.00	952.00	960.00
2350.00	2382.00	2744.67	2443.56	2607.00	2391.69	2540.45	2388.34	2247.48	2534.00	2420.00	2499.00	2548.00
1074.15	1326.99	1393.81	1380.26	1130.02	1313.29	1352.03	1082.28	950.31	1038.88	996.60	970.06	1048.62
257.00	299.00	329.00	293.00	359.00	306.00	338.00	341.00	360.00	341.00	351.00	436.00	356.00
3215.98	3350.00	3764.00	3455.00	3824.00	3433.97	3861.00	3664.00	3545.00	3110.00	3675.00	4148.00	3935.00
596.00	651.00	613.00	640.00	794.00	571.00	674.00	583.00	398.00	411.00	483.00	454.00	460.00
14.00	4.00	15.00	17.00	9.00	14.00	4.00	12.00	3.00	10.00	8.00	8.00	20.00
9.00	8.00	13.00	17.00	19.00	9.00	8.00	20.00	12.00	8.00	13.00	6.00	12.00
1286.00	1452.00	1600.00	1464.00	1279.00	1255.00	1357.00	1568.00	1918.00	1860.00	1547.00	1886.00	1640.00
2099.00	1552.00	2365.00	1638.00	1798.00	1753.00	1556.00	1243.00	1257.00	2124.00	1337.00	1425.00	1381.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
616.00	531.00	675.00	533.00	474.00	553.00	613.00	600.00	625.00	556.00	569.00	511.00	569.00
1.00	0.00	7.00	1.00	2.00	1.00	0.00	2.00	1.00	0.00	7.00	3.00	2.00
6.00	9.00	8.00	6.00	21.00	19.00	16.00	17.00	3.00	0.00	58.00	29.00	91.00
101.00	88.00	74.00	58.00	62.00	57.00	68.00	102.00	104.00	32.00	53.00	43.00	40.00
0.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00
3005.00	2954.00	3141.00	3035.00	3218.00	2866.00	3161.00	2642.00	1976.00	2419.00	2512.00	2453.00	2546.00
46.00	33.00	38.00	40.00	8.00	21.00	21.00	16.00	74.00	73.00	24.00	20.00	39.00
52.00	28.00	52.00	54.00	31.00	39.00	32.00	27.00	19.00	51.00	23.00	22.00	34.00
1.00	5.00	2.00	0.00	1.00	0.00	1.00	0.00	2.00	1.00	1.00	0.00	1.00
2837.76	2711.51	3463.47	2555.73	2580.83	2821.67	2594.81	3699.13	3288.53	3542.46	2648.34	2398.77	2319.79
803.00	968.00	1046.00	868.00	1064.00	961.00	940.00	895.00	1059.00	985.00	988.00	1183.00	1018.00
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
1059.02	1143.48	1325.69	1172.37	1099.10	1096.41	1174.34	1018.74	1050.22	1035.34	925.47	1055.42	971.99
74.00	46.00	93.00	78.00	65.00	90.00	126.00	126.00	151.00	22.00	110.00	57.00	79.00
1689.66	1513.04	1917.32	1497.52	1434.69	1612.96	1615.66	1741.63	1750.34	1682.29	1608.80	1458.98	1691.41
43.00	47.00	89.00	35.00	54.00	44.00	49.00	58.00	54.00	50.00	74.00	51.00	44.00
522.00	576.00	517.00	519.00	425.00	505.00	728.00	747.00	822.00	686.00	683.00	706.00	817.00
466.00	415.00	923.00	450.00	475.00	453.00	262.00	387.00	490.00	546.00	419.00	440.00	338.00
932.00	987.00	975.00	1022.00	809.00	783.00	1270.00	938.00	977.00	1118.00	907.00	961.00	909.00
2673.00	3017.00	2563.00	2907.00	2820.00	2554.00	2788.00	2595.00	2699.00	2654.00	3130.00	3043.00	3102.00
5402.19	6084.97	6013.00	6114.37	5475.27	5338.00	5940.20	6217.00	7914.00	5417.00	6098.00	6406.19	6588.00
0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	3.00
1490.00	1352.00	1794.00	1464.00	1275.00	1360.00	1434.00	1440.00	1454.00	1519.00	1643.00	1548.00	1709.00
329.00	194.00	557.00	193.00	279.00	283.00	124.00	134.00	84.00	287.00	264.00	225.00	201.00
1489.00	1395.00	1316.00	1396.00	1532.00	1218.00	1464.00	1335.00	1431.00	1955.00	1536.00	1398.00	1561.00
1072.07	1236.52	1256.76	1168.24	1120.41	1222.53	1130.33	974.58	989.47	1082.97	1021.03	1005.56	1019.91
22.00	26.00	16.00	18.00	34.00	25.00	42.97	14.00	28.00	19.00	57.00	70.37	58.00
5659.00	6548.00	6277.00	6559.00	7131.99	6038.00	6169.00	5669.00	3863.00	4707.00	4702.00	4913.00	4472.00
342.00	336.00	329.00	296.00	368.00	336.00	443.00	478.00	602.00	304.00	600.00	549.00	537.00
2895.00	3077.00	2931.96	2880.96	3178.00	2956.00	2821.00	2817.00	2092.00	2791.00	2572.00	2390.00	2168.00
93.79	70.15	41.46	54.51	61.39	67.09	98.43	62.33	63.40	92.75	110.35	71.91	92.70
630.00	760.00	674.00	688.00	745.00	728.00	712.00	595.00	392.00	604.00	593.00	547.00	535.00
1374.00	1300.00	1437.00	1340.00	1683.00	1532.00	1741.00	1275.00	1728.00	1361.00	2209.00	2085.00	2616.00
817.00	762.00	698.00	712.00	718.00	697.00	689.00	920.00	891.00	929.00	708.00	721.00	867.00
3900.50	4668.00	4347.95	4526.00	4580.87	4261.00	4440.62	4545.24	4125.96	3908.30	3970.01	4166.00	3926.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1321.00	1289.00	1112.00	1300.00	1252.00	1135.00	1401.00	1224.00	1439.00	1012.00	1262.00	1306.00	1387.00
71.00	73.00	61.00	57.00	112.00	110.00	153.00	87.00	110.00	99.00	195.00	243.00	274.00
3578.00	3911.00	4268.00	3822.00	3474.00	3651.00	3866.00	4116.00	4869.00	3985.00	4217.00	4628.00	4578.00
9050.00	8196.00	10342.00	7231.00	6925.00	6854.00	5541.00	5343.00	3326.00	9642.00	5767.00	4507.00	4809.00
6.00	7.00	6.00	6.00	12.00	27.00	26.00	13.00	9.00	4.00	26.00	27.00	47.00
40.00	50.00	55.00	63.00	303.00	299.00	325.00	51.00	49.00	49.00	610.00	288.00	552.00
7.92	4.00	11.00	7.00	14.00	7.00	22.00	4.17	19.42	20.00	13.00	26.00	24.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
144.85	98.09	130.74	100.12	84.77	105.64	118.88	119.56	143.31	104.42	163.28	144.86	188.17
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	2.00	1.00	1.00	1.00	3.00	0.00	2.00	2.00	4.00	1.00	0.00	1.00
378.00	354.00	583.00	377.00	547.00	440.00	431.00	519.00	502.00	524.00	424.00	655.00	454.00
2831.00	3430.00	2944.00	3184.00	3322.00	2945.97	3086.00	2918.00	2926.99	3023.00	3057.99	3524.98	3248.00
2.00	1.00	1.00	1.00	0.00	1.00	0.00	2.00	0.00	1.00	1.00	0.00	3.00
2.00	6.00	4.00	5.00	0.00	5.00	3.00	5.00	0.00	5.00	4.00	5.00	0.00
4.00	7.00	3.00	4.00	0.00	4.00	2.00	1.00	2.00	2.00	20.00	2.00	2.00
120.00	74.00	146.00	68.00	118.00	126.00	149.00	130.00	115.00	120.00	189.00	152.00	217.00
1162.00	1193.00	1391.00	1192.00	1035.00	1105.00	1209.00	1139.00	1492.00	1027.00	1174.00	1271.00	1361.00
13.00	1.00	0.00	5.00	0.00	3.00	3.00	2.00	2.00	3.00	3.00	2.00	0.00
9943.98	8861.55	11007.43	9246.93	11642.87	10366.74	12100.64	9096.19	9670.40	8567.23	9918.88	10114.45	11143.69
2915.00	2932.00	2826.00	2960.00	2943.00	2650.00	3134.00	2636.00	3106.00	2555.00	2827.00	2883.00	3098.00
806.00	882.00	984.00	876.00	851.00	797.00	808.00	797.00	760.00	807.00	737.00	809.00	830.00
130.00	119.00	180.00	134.00	93.00	115.00	141.00	198.00	91.00	196.00	204.00	113.00	228.00
1043.00	931.00	967.00	897.00	915.00	822.00	983.00	1042.00	1110.00	1017.00	997.00	828.00	1042.00
8.00	5.00	4.00	9.00	4.00	7.00	2.00	2.00	2.00	15.00	0.00	9.00	1.00
410.00	438.00	401.00	373.00	421.00	419.00	437.00	430.00	375.00	376.00	335.00	401.00	382.00
131.00	124.00	143.00	94.00	80.00	110.00	58.00	120.00	107.00	185.00	74.00	87.00	69.00
2483.00	3613.00	2644.00	2660.00	2602.00	2651.46	2449.00	3170.00	2872.00	3243.00	3355.00	3483.00	3386.00
4.00	11.00	31.00	15.00	33.00	19.00	26.00	26.00	14.00	17.00	13.00	20.00	11.00
676.00	780.00	435.00	813.00	578.00	475.00	620.00	874.00	319.00	465.00	577.00	469.00	648.00
544.00	416.00	476.00	367.00	378.00	311.00	318.00	283.00	373.00	853.00	356.00	375.00	396.00
1895.00	2578.00	1980.00	2204.00	2324.00	2163.00	2204.00	2382.00	2783.00	2245.00	2221.00	2648.00	2664.00
450.00	454.00	362.00	554.00	308.00	472.00	840.00	615.00	764.00	364.00	497.00	518.00	575.00
93.00	118.00	107.00	139.00	134.00	98.00	186.00	103.00	128.00	91.00	184.00	131.00	127.00
4.00	3.00	8.00	6.00	4.00	6.00	2.00	1.00	3.00	3.00	9.00	3.00	3.00
1768.00	1559.00	1914.00	1581.00	1209.00	1328.00	1497.00	1907.00	2129.00	1906.00	1848.00	1385.00	1751.00
6639.00	7668.00	6626.00	7251.00	7101.00	6545.00	6849.00	6899.00	6988.00	6951.00	6534.00	6780.00	6610.00
1515.00	1367.00	1611.00	1484.00	1713.00	1508.00	1598.00	1419.00	1283.00	1239.00	1454.00	1445.00	1698.00
539.00	869.00	695.00	724.00	625.00	771.00	639.00	758.00	831.00	869.00	716.00	902.00	656.00
1599.00	1801.00	1810.00	1758.00	1595.00	1401.00	1459.00	1721.00	1453.00	1487.00	1599.00	1563.00	1402.00
5.00	0.00	2.00	4.00	3.00	4.00	4.00	1.00	4.00	1.00	0.00	0.00	2.00
400.00	375.00	428.00	444.00	390.00	409.00	421.00	383.00	410.00	367.00	425.00	401.00	462.00
4574.00	4754.00	4332.00	4917.00	4781.00	4089.00	4896.00	4192.00	4379.00	4385.00	3834.00	4198.00	3655.00
120.00	142.00	121.00	144.00	131.00	127.00	110.00	114.00	133.00	87.00	96.00	93.00	103.00
3.00	4.00	4.00	14.00	8.00	3.00	12.00	3.00	10.00	4.00	5.00	3.00	8.00
46.00	41.00	38.00	56.00	28.00	41.00	52.00	37.00	40.00	55.00	57.00	31.00	44.00
2058.00	2050.00	2066.00	1951.00	1995.00	1978.00	1975.00	1894.00	1643.00	1771.00	1784.00	1821.00	2015.00
2.00	2.00	4.00	1.00	4.00	0.00	6.00	1.00	0.00	1.00	1.00	5.00	0.00
2523.98	2419.71	2806.45	2505.43	2143.23	2081.19	2266.31	2661.70	2739.39	2430.33	2241.66	2106.35	2162.86
425.89	384.17	504.88	447.75	373.18	411.69	494.17	439.40	467.32	307.60	402.64	328.46	382.12
339.00	292.00	279.00	293.00	254.00	283.00	320.00	270.00	241.00	272.00	269.00	231.00	310.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
36.47	76.08	49.83	52.53	53.61	59.98	70.55	37.71	43.63	37.84	53.60	59.16	41.49
182.00	172.00	137.00	149.00	147.00	135.00	134.00	183.00	254.00	208.00	190.00	230.00	270.00
44.00	34.07	39.13	32.07	59.12	50.11	45.18	52.00	36.13	45.04	107.32	102.42	151.44
1177.00	1161.93	1183.87	1173.93	1212.88	1119.89	1296.82	1100.00	1005.87	1041.96	1237.68	1151.58	1169.56
429.00	374.00	480.00	322.00	381.00	339.00	344.00	405.00	437.00	536.00	386.00	388.00	401.00
12.00	9.00	5.00	2.00	149.00	153.00	295.00	11.00	6.00	10.00	511.00	257.00	442.00
31.00	41.00	26.00	63.00	34.00	23.00	48.00	36.00	14.00	21.00	29.00	14.00	21.00
43.16	41.69	25.79	42.59	42.23	40.92	54.68	50.76	29.55	21.93	38.54	36.47	15.49
1879.82	1942.96	1915.03	2087.29	2235.97	1861.97	2169.67	1876.06	1475.99	1611.12	1784.45	1711.04	1755.28
2842.00	3244.00	3310.00	3156.00	3534.00	3114.00	3112.00	3086.00	2673.00	3060.00	2740.00	2807.00	2698.00
998.18	1094.04	1252.97	1156.71	1323.03	1279.03	1313.33	1137.94	1041.01	896.88	1169.55	1167.96	1253.72
43.00	37.00	46.00	53.00	54.00	56.04	67.00	32.00	46.00	45.00	100.00	72.00	100.00
25.00	29.00	31.00	32.00	19.00	22.00	23.00	17.00	23.00	49.00	40.00	20.00	44.00
1.00	4.00	6.00	19.00	0.00	6.00	11.00	0.00	0.00	2.00	0.00	0.00	0.00
436.00	452.00	470.00	502.00	689.00	513.00	887.00	552.00	515.00	334.00	1347.00	767.00	1543.00
0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	37.00	64.00	50.00	42.00	40.00	21.00	53.00	63.00	40.00	36.00	41.00	52.00
581.00	477.00	513.00	531.00	488.00	472.00	633.00	512.00	862.00	468.00	783.00	628.00	861.00
3185.00	3070.00	3533.00	2903.00	3029.00	2905.00	3353.00	3165.00	3329.00	2946.00	2929.00	3220.00	3438.00
310.00	278.00	240.00	265.00	297.00	233.00	314.00	254.00	239.00	205.00	279.00	255.00	292.00
1089.00	1015.00	1053.00	1013.00	1020.00	1045.00	1172.00	1265.00	1198.00	1187.00	1039.00	1168.00	1073.00
377.00	567.00	499.00	472.00	387.00	392.00	331.00	426.00	385.00	336.00	255.00	287.00	291.00
1456.00	1536.00	1581.00	1548.00	1625.00	1433.00	1508.00	1337.00	1264.00	1231.00	1349.00	1375.00	1469.00
1507.00	1421.00	1556.00	1492.00	1598.00	1446.00	1610.00	1110.00	936.00	877.00	1227.00	1019.00	1058.00
1402.00	1195.00	1501.00	1316.00	1155.00	1215.00	1516.00	1376.00	1968.00	1362.00	1384.00	1421.00	1538.00
798.92	609.97	807.81	632.70	546.74	719.90	796.93	787.63	822.69	874.90	719.03	769.30	711.34
5.00	0.00	0.00	3.00	0.00	0.00	2.00	0.00	2.00	0.00	0.00	0.00	1.00
621.00	494.00	571.00	465.00	457.00	479.00	608.00	573.00	602.00	551.00	615.00	498.00	593.00
1154.00	1367.00	1545.00	1238.00	1491.00	1474.00	1209.00	1620.00	1512.00	1295.00	1122.00	1629.00	1351.00
0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00
1302.77	1244.84	1310.14	1218.54	1285.68	1199.13	1285.20	1291.45	1291.99	1263.97	1260.24	1388.17	1381.43
2134.00	2259.00	2414.00	2403.00	2276.00	2179.00	2535.00	2233.00	2377.00	1899.00	2191.00	2145.00	2243.00
35.00	173.00	70.00	175.00	297.00	154.00	200.00	108.00	95.00	32.00	144.00	243.00	195.00
1136.00	1186.00	1276.00	1270.00	1364.00	1196.00	1370.00	1166.00	1183.00	948.00	1147.00	1133.00	1118.00
3984.00	3703.00	4317.00	2488.00	1909.00	3007.00	2336.00	2908.00	3540.00	4555.00	4816.00	1992.00	4980.00
1373.00	1286.00	1286.00	1463.00	1235.00	1169.00	1442.00	1187.00	1003.00	1091.00	1338.00	1087.00	1044.00
140.00	147.00	157.00	131.00	233.00	283.00	249.00	149.00	259.00	167.00	497.00	377.00	630.00
3792.00	3740.00	3955.00	3783.00	3557.00	3297.00	3463.00	3260.00	2431.00	3574.00	2844.00	2898.00	2763.00
316.00	193.00	322.00	191.00	213.00	241.00	290.00	269.00	305.00	261.00	255.00	178.00	270.00
10.00	5.00	7.00	5.00	14.00	8.00	23.00	4.00	7.00	7.00	49.00	10.00	33.00
142.00	146.00	155.00	130.00	187.00	137.00	174.00	130.00	94.00	135.00	116.00	127.00	103.00
636.00	616.00	695.00	556.00	640.00	529.00	628.00	688.00	716.00	669.00	656.00	672.00	781.00
920.00	696.00	751.00	641.00	735.00	690.00	724.00	703.00	823.00	943.00	712.00	758.00	887.00
1368.00	1266.00	1553.00	1141.00	1153.00	1171.00	1262.88	1468.00	1544.00	1477.00	1381.00	1223.00	1357.00
596.00	582.00	666.00	591.00	596.00	593.00	613.00	767.00	822.00	629.00	737.00	752.00	793.00
3.00	2.00	2.00	3.00	2.00	6.00	0.00	1.00	2.00	1.00	1.00	1.00	0.00
731.00	654.00	864.00	613.00	705.00	695.00	586.00	683.00	602.00	823.00	499.00	567.00	457.00
572.00	636.00	669.00	635.00	649.00	605.00	635.00	607.00	560.00	664.00	566.00	539.00	611.00
922.00	806.00	839.00	849.00	1074.00	796.00	918.00	800.00	568.00	606.00	701.00	663.00	602.00
34.00	32.00	51.00	44.00	44.00	62.00	60.00	32.00	54.00	27.00	55.00	37.00	64.00
0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
1493.00	1330.00	1460.00	1333.00	1321.00	1293.00	1362.00	1496.00	1441.00	1687.00	1497.00	1321.00	1527.00
45628.10	56575.54	48470.06	52706.36	57371.99	51409.88	53180.84	47679.88	58246.09	47950.27	52003.84	56756.24	54685.66
4360.00	4845.00	5220.00	4887.00	4731.00	4773.00	5024.00	4823.00	6295.00	4962.00	4758.00	5762.00	5402.00
4.00	1.00	2.00	7.00	2.00	2.00	5.00	7.00	1.00	1.00	0.00	6.00	2.00
2607.00	2346.00	2559.00	2399.00	1840.00	1938.00	2295.00	2244.00	2499.00	2323.00	2371.00	2280.00	2276.00
18.00	32.00	32.00	29.00	60.00	40.00	37.00	26.00	31.00	17.00	28.00	39.00	26.00
1575.00	1698.00	1567.00	1354.00	1530.00	1278.00	1419.00	1570.00	1761.00	1426.00	1530.00	1768.00	1591.00
365.50	325.21	345.99	312.80	329.40	319.94	384.27	540.09	603.27	413.68	446.16	447.61	470.33
87.49	72.05	103.17	82.78	83.61	62.59	75.91	104.94	205.95	138.66	91.13	156.99	134.31
3703.00	3037.00	3618.00	3184.00	2687.00	2934.00	3535.00	3820.00	4223.00	3666.00	3490.00	3183.00	3761.00
38.00	20.00	19.00	20.00	21.00	18.00	32.00	20.00	74.00	32.00	54.00	52.00	49.00
547.00	387.00	254.00	347.00	369.00	324.00	354.00	310.00	478.00	609.00	412.00	427.00	483.00
52927.21	43051.05	65915.30	48690.05	50522.56	49862.57	49368.01	47124.29	42548.07	42712.71	43610.18	46150.73	43759.48
348.00	406.00	496.00	376.00	487.00	442.00	389.00	515.00	533.00	503.00	470.00	492.00	533.00
20.00	11.00	19.00	8.00	11.00	5.00	6.00	8.00	14.00	9.00	18.00	21.00	17.00
928.00	859.00	961.07	799.00	1021.08	861.00	860.06	842.00	618.00	797.00	824.00	750.00	861.00
279.00	203.00	307.00	258.00	189.00	251.00	237.00	252.00	301.00	278.00	312.00	215.00	281.00
4851.00	4484.00	5479.93	4856.00	5866.92	5330.00	6084.94	4494.00	4506.00	3864.00	4990.00	5152.00	5464.00
980.00	1193.00	958.00	1254.00	1140.00	996.00	1076.00	955.00	749.00	1515.00	1068.00	1012.00	979.00
106.00	118.00	142.00	129.00	91.00	112.00	99.00	113.00	168.00	125.00	108.00	86.00	100.00
3235.21	2473.06	3659.08	2677.18	2434.05	2904.04	2317.00	2084.05	2455.25	3795.17	1746.13	2373.06	1847.05
1555.28	1738.74	1474.08	1836.49	1703.25	1468.57	1568.71	1456.54	1691.36	1584.99	1564.07	1650.81	1677.42
16.24	10.05	12.36	22.43	11.23	16.32	33.27	17.33	19.46	7.14	17.34	21.43	23.41
2117.00	2112.00	2770.00	2161.00	2458.00	2319.00	1957.00	2075.00	1959.00	1738.00	1963.00	1863.00	1676.00
23.00	15.00	11.00	12.00	6.00	0.00	2.00	6.00	8.00	5.00	10.00	3.00	8.00
9.00	7.00	10.00	10.00	1.00	12.00	11.00	16.00	6.00	9.00	14.00	10.00	8.00
1134.00	1469.00	1594.00	1528.00	1203.00	1349.00	1192.00	1489.00	1446.00	1351.00	930.00	1051.00	969.00
